fsync	descriptor	0	int32	$fd
open	given_pathname	0	variable32	user_string($filename)
open	full_pathname	1	variable32	""
open	open_value	1	int32	$flags
open	flag_read_only	0	bool	($flags&%{O_ACCMODE%})==%{O_RDONLY%}
open	flag_write_only	0	bool	($flags&%{O_ACCMODE%})==%{O_WRONLY%}
open	flag_read_and_write	0	bool	($flags&%{O_ACCMODE%})==%{O_RDWR%}
open	flag_append	0	bool	$flags&%{O_APPEND%}
open	flag_async	0	bool	""
open	flag_create	0	bool	$flags&%{O_CREAT%}
open	flag_direct	0	bool	$flags&%{O_DIRECT%}
open	flag_directory	0	bool	$flags&%{O_DIRECTORY%}
open	flag_exclusive	0	bool	$flags&%{O_EXCL%}
open	flag_largefile	0	bool	$flags&%{O_LARGEFILE%}
open	flag_no_access_time	0	bool	""
open	flag_no_controlling_terminal	0	bool	$flags&%{O_NOCTTY%}
open	flag_no_follow	0	bool	$flags&%{O_NOFOLLOW%}
open	flag_no_blocking_mode	0	bool	$flags&%{O_NONBLOCK%}
open	flag_no_delay	0	bool	$flags&%{O_NDELAY%}
open	flag_synchronous	0	bool	$flags&%{O_SYNC%}
open	flag_truncate	0	bool	$flags&%{O_TRUNC%}
open	mode_value	1	bool	$mode
open	mode_R_user	0	bool	$mode&%{S_IRUSR%}
open	mode_W_user	0	bool	$mode&%{S_IWUSR%}
open	mode_X_user	0	bool	$mode&%{S_IXUSR%}
open	mode_R_group	0	bool	$mode&%{S_IRGRP%}
open	mode_W_group	0	bool	$mode&%{S_IWGRP%}
open	mode_X_group	0	bool	$mode&%{S_IXGRP%}
open	mode_R_others	0	bool	$mode&%{S_IROTH%}
open	mode_W_others	0	bool	$mode&%{S_IWOTH%}
open	mode_X_others	0	bool	$mode&%{S_IXOTH%}
close	descriptor	0	int32	$fd
stat	given_pathname	0	variable32	user_string($filename)
stat	full_pathname	1	variable32	""
stat	buffer_address	1	int64	$statbuf
stat	stat_result_raw	1	variable32	$statbuf$$
stat	stat_result_dev	1	int32	$statbuf->st_dev
stat	stat_result_ino	1	int32	$statbuf->st_ino
stat	stat_result_mode	1	int32	$statbuf->st_mode
stat	stat_result_nlink	1	int32	$statbuf->st_nlink
stat	stat_result_uid	1	int32	$statbuf->st_uid
stat	stat_result_gid	1	int32	$statbuf->st_gid
stat	stat_result_rdev	1	int32	$statbuf->st_rdev
stat	stat_result_size	1	int64	$statbuf->st_size
stat	stat_result_blksize	1	int32	""
stat	stat_result_blocks	1	int32	""
stat	stat_result_atime	1	int64	$statbuf->st_atime
stat	stat_result_mtime	1	int64	$statbuf->st_mtime
stat	stat_result_ctime	1	int64	$statbuf->st_ctime
lstat	given_pathname	0	variable32	user_string($filename)
lstat	full_pathname	1	variable32	""
lstat	buffer_address	1	int64	$statbuf
lstat	stat_result_raw	1	variable32	$statbuf$$
lstat	stat_result_dev	1	int32	$statbuf->st_dev
lstat	stat_result_ino	1	int32	$statbuf->st_ino
lstat	stat_result_mode	1	int32	$statbuf->st_mode
lstat	stat_result_nlink	1	int32	$statbuf->st_nlink
lstat	stat_result_uid	1	int32	$statbuf->st_uid
lstat	stat_result_gid	1	int32	$statbuf->st_gid
lstat	stat_result_rdev	1	int32	$statbuf->st_rdev
lstat	stat_result_size	1	int64	$statbuf->st_size
lstat	stat_result_blksize	1	int32	""
lstat	stat_result_blocks	1	int32	""
lstat	stat_result_atime	1	int64	$statbuf->st_atime
lstat	stat_result_mtime	1	int64	$statbuf->st_mtime
lstat	stat_result_ctime	1	int64	$statbuf->st_ctime
access	given_pathname	0	variable32	user_string($filename)
access	full_pathname	1	variable32	""
access	pathname	0	variable32	user_string($filename)
access	mode_value	1	int32	$mode
access	mode_read	0	bool	4&$mode
access	mode_write	0	bool	2&$mode
access	mode_execute	0	bool	1&$mode
access	mode_exist	0	bool	(7&$mode)==0
execve	given_pathname	1	variable32	kernel_string($filename)
execve	full_pathname	1	variable32	""
execve	argument_address	1	int64	$argv
execve	environment_address	1	int64	$envp
execve	continuation_number	0	int32	""
execve	argument	1	variable32	""
execve	environment	1	variable32	""
truncate	given_pathname	0	variable32	user_string($path)
truncate	full_pathname	1	variable32	""
truncate	truncate_length	0	int64	$length
chdir	given_pathname	0	variable32	user_string($filename)
chdir	full_pathname	1	variable32	""
mkdir	given_pathname	0	variable32	user_string($pathname)
mkdir	full_pathname	1	variable32	""
mkdir	mode_value	1	int32	$mode
mkdir	mode_R_user	0	bool	$mode&%{S_IRUSR%}
mkdir	mode_W_user	0	bool	$mode&%{S_IWUSR%}
mkdir	mode_X_user	0	bool	$mode&%{S_IXUSR%}
mkdir	mode_R_group	0	bool	$mode&%{S_IRGRP%}
mkdir	mode_W_group	0	bool	$mode&%{S_IWGRP%}
mkdir	mode_X_group	0	bool	$mode&%{S_IXGRP%}
mkdir	mode_R_others	0	bool	$mode&%{S_IROTH%}
mkdir	mode_W_others	0	bool	$mode&%{S_IWOTH%}
mkdir	mode_X_others	0	bool	$mode&%{S_IXOTH%}
rmdir	given_pathname	0	variable32	user_string($pathname)
rmdir	full_pathname	1	variable32	""
creat	given_pathname	0	variable32	user_string($pathname)
creat	full_pathname	1	variable32	""
creat	mode_value	1	int32	$mode
creat	mode_R_user	0	bool	$mode&%{S_IRUSR%}
creat	mode_W_user	0	bool	$mode&%{S_IWUSR%}
creat	mode_X_user	0	bool	$mode&%{S_IXUSR%}
creat	mode_R_group	0	bool	$mode&%{S_IRGRP%}
creat	mode_W_group	0	bool	$mode&%{S_IWGRP%}
creat	mode_X_group	0	bool	$mode&%{S_IXGRP%}
creat	mode_R_others	0	bool	$mode&%{S_IROTH%}
creat	mode_W_others	0	bool	$mode&%{S_IWOTH%}
creat	mode_X_others	0	bool	$mode&%{S_IXOTH%}
link	given_oldpathname	0	variable32	user_string($oldname)
link	full_oldpathname	1	variable32	""
link	given_newpathname	0	variable32	user_string($newname)
link	full_newpathname	1	variable32	""
unlink	given_pathname	0	variable32	user_string($pathname)
unlink	full_pathname	1	variable32	""
symlink	target_pathname	0	variable32	user_string($oldname)
symlink	given_pathname	0	variable32	user_string($newname)
symlink	full_pathname	1	variable32	""
readlink	given_pathname	0	variable32	user_string($path)
readlink	full_pathname	1	variable32	""
readlink	link_value	0	variable32	$return
readlink	buffer_address	1	int64	$buf
readlink	buffer_size	1	int32	$bufsiz
chmod	given_pathname	0	variable32	user_string($filename)
chmod	full_pathname	1	variable32	""
chmod	mode_value	1	int32	$mode
chmod	mode_uid	0	bool	$mode&%{S_ISUID%}
chmod	mode_gid	0	bool	$mode&%{S_ISGID%}
chmod	mode_sticky_bit	0	bool	$mode&%{S_ISVTX%}
chmod	mode_R_user	0	bool	$mode&%{S_IRUSR%}
